"Protein_id","short.name","mRNA_ID","b.name","start.point","stop.point","length","operon.name"
"YP_003043381.1","fhuB","ECB_00152","b0153",171462,173444,1982,"fhuACDB"
"YP_003043382.1","hemL","ECB_00153","b0154",173602,174882,1280,"hemL"
"YP_003043383.1","yadQ","ECB_00154","b0155",0,0,0,"no_op"
"YP_003043384.1","yadR","ECB_00155","b0156",0,0,0,"no_op"
"YP_003043385.1","yadS","ECB_00156","b0157",177001,177624,623,"mtn-btuF-yadS"
"YP_003043386.1","yadT","ECB_00157","b0158",0,0,0,"no_op"
"YP_003043387.1","pfs","ECB_00158","b0159",0,0,0,"no_op"
"YP_003043388.1","dgt","ECB_00159","b0160",179237,180754,1517,"dgt"
"YP_003043389.1","degP","ECB_00160","b0161",180884,182308,1424,"degP"
"YP_003043390.1","cdaR","ECB_00161","b0162",182463,183620,1157,"cdaR"
"YP_003043391.1","yaeH","ECB_00162","b0163",183709,184095,386,"yaeH"
"YP_003043392.1","yaeI","ECB_00163","b0164",184257,185069,812,"yaeI"
"YP_003043393.1","dapD","ECB_00164","b0166",185123,185947,824,"map-glnD-dapD"
"YP_003043394.1","glnD","ECB_00165","b0167",185978,188650,2672,"map-glnD-dapD"
"YP_003043395.1","map","ECB_00166","b0168",188712,189506,794,"map-glnD-dapD"
"YP_003043396.1","rpsB","ECB_00167","b0169",189874,190599,725,"tff-rpsB-tsf"
"YP_003043397.1","tsf","ECB_00168","b0170",190857,191708,851,"tff-rpsB-tsf"
"YP_003043398.1","pyrH","ECB_00169","b0171",191855,192580,725,"pyrH"
"YP_003043399.1","frr","ECB_00170","b0172",192872,193429,557,"frr"
"YP_003043400.1","ispC","ECB_00171","b0173",0,0,0,"no_op"
"YP_003043401.1","uppS","ECB_00172","b0174",0,0,0,"no_op"
"YP_003043402.1","cdsA","ECB_00173","b0175",195677,196534,857,"cdsA"
"YP_003043403.1","yaeL","ECB_00174","b0176",0,0,0,"no_op"
"YP_003043404.1","yaeT","ECB_00175","b0177",0,0,0,"no_op"
"YP_003043405.1","hlpA","ECB_00176","b0178",200482,200967,485,"bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE"
"YP_003043406.1","lpxD","ECB_00177","b0179",200971,201996,1025,"bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE"
"YP_003043407.1","fabZ","ECB_00178","b0180",202101,202556,455,"bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE"
"YP_003043408.1","lpxA","ECB_00179","b0181",202560,203348,788,"bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE"
"YP_003043409.1","lpxB","ECB_00180","b0182",203348,204496,1148,"bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE"
"YP_003043410.1","rnhB","ECB_00181","b0183",204493,205089,596,"bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE"
"YP_003043411.1","dnaE","ECB_00182","b0184",205126,208608,3482,"bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE"
"YP_003043412.1","accA","ECB_00183","b0185",208621,209580,959,"accA"
"YP_003043413.1","ldcC","ECB_00184","b0186",209679,211820,2141,"ldcC"
"YP_003043414.1","yaeR","ECB_00185","b0187",211877,212266,389,"yaeR"
"YP_003043415.1","tilS","ECB_00186","b0188",212331,213629,1298,"tilS"
"YP_003043416.1","rof","ECB_00187","b0189",213678,213932,254,"yaeP-rof"
"YP_003043418.1","yaeQ","ECB_00189","b0190",214291,214836,545,"yaeQ-arfB-nlpE"
"YP_003043419.1","yaeJ","ECB_00190","b0191",0,0,0,"no_op"
"YP_003043420.1","cutF","ECB_00191","b0192",0,0,0,"no_op"
"YP_003043421.1","yaeF","ECB_00192","b0193",216179,217003,824,"yaeF"
"YP_003043422.1","proS","ECB_00193","b0194",217057,218775,1718,"proS"
"YP_003043423.1","yaeB","ECB_00194","b0195",218887,219594,707,"rcsF-trmO"
"YP_003043424.1","rcsF","ECB_00195","b0196",219591,219995,404,"rcsF-trmO"
"YP_003043425.1","metQ","ECB_00196","b0197",220113,220928,815,"metNIQ"
"YP_003043426.1","metI","ECB_00197","b0198",220968,221621,653,"metNIQ"
"YP_003043427.1","metN","ECB_00198","b0199",221614,222645,1031,"metNIQ"
"YP_003043428.1","gmhB","ECB_00199","b0200",222833,223408,575,"gmhB"
"YP_003043429.1","dkgB","ECB_00200","b0207",229167,229970,803,"dkgB"
"YP_003043430.1","yafC","ECB_00201","b0208",229967,230881,914,"yafC"
"YP_003043431.1","yafD","ECB_00202","b0209",231122,231922,800,"yafDE"
"YP_003043432.1","yafE","ECB_00203","b0210",231926,232549,623,"yafDE"
"YP_003043433.1","mltD","ECB_00204","b0211",232597,233955,1358,"mltD"
"YP_003043434.1","gloB","ECB_00205","b0212",234027,234782,755,"gloB"
"YP_003043435.1","yafS","ECB_00206","b0213",234816,235538,722,"yafS"
"YP_003043436.1","rnhA","ECB_00207","b0214",235535,236002,467,"rnhA"
"YP_003043437.1","dnaQ","ECB_00208","b0215",236067,236798,731,"dnaQ"
"YP_003043438.1","yafT","ECB_00209","b0217",237335,238120,785,"yafT"
"YP_003043443.1","yafV","ECB_00214","b0219",239419,240189,770,"yafV"
"YP_003043444.1","ykfE","ECB_00215","b0220",0,0,0,"no_op"
"YP_003043445.1","fadE","ECB_00216","b0221",240859,243303,2444,"fadE"
"YP_003043446.1","gmhA","ECB_00217","b0222",0,0,0,"no_op"
"YP_003043447.1","yafJ","ECB_00218","b0223",244327,245094,767,"yafJ"
"YP_003043448.1","yafK","ECB_00219","b0224",245065,245805,740,"yafK"
"YP_003043449.1","yafQ","ECB_00220","b0225",245961,246239,278,"dinJ-yafQ"
"YP_003043450.1","dinJ","ECB_00221","b0226",246242,246502,260,"dinJ-yafQ"
"YP_003043451.1","yafL","ECB_00222","b0227",246712,247461,749,"yafL"
"YP_003043452.1","yafM","ECB_00223","b0228",0,0,0,"no_op"
"YP_003043453.1","dinB","ECB_00226","b0231",250898,251953,1055,"dinB-yafNOP"
"YP_003043454.1","yafN","ECB_00227","b0232",252005,252298,293,"dinB-yafNOP"
"YP_003043455.1","yafO","ECB_00228","b0233",252301,252699,398,"dinB-yafNOP"
"YP_003043456.1","yafP","ECB_00229","b0234",252709,253161,452,"dinB-yafNOP"
"YP_003043459.1","pepD","ECB_00232","b0237",254259,255716,1457,"pepD"
"YP_003043460.1","gpt","ECB_00233","b0238",255977,256435,458,"gpt"
"YP_003043461.1","frsA","ECB_00234","b0239",256527,257771,1244,"frsA"
"YP_003043465.1","phoE","ECB_00238","b0241",258269,259324,1055,"no_op"
"YP_003043466.1","proB","ECB_00239","b0242",259612,260715,1103,"no_op"
"YP_003043467.1","proA","ECB_00240","b0243",260727,261980,1253,"proBA"
"YP_003045990.1","yafZ","ECB_02803","b0252",266408,267229,821,"no_op"
"YP_003043469.1","yagQ","ECB_00242","b0283",0,0,0,"no_op"
"YP_003043470.1","yagR","ECB_00243","b0284",0,0,0,"no_op"
"YP_003043471.1","yagS","ECB_00244","b0285",0,0,0,"no_op"
"YP_003043472.1","yagT","ECB_00245","b0286",0,0,0,"no_op"
"YP_003043473.1","yagU","ECB_00246","b0287",302215,302829,614,"no_op"
"YP_003043474.1","ykgJ","ECB_00247","b0288",303077,303406,329,"yagU"
"YP_003043475.1","yagV","ECB_00248","b0289",0,0,0,"no_op"
"YP_003043368.1","ecpD","ECB_00139","b0290",304398,306041,1643,"no_op"
"YP_003043476.1","yagW","ECB_00249","b0290",0,0,0,"no_op"
"YP_003043477.1","yagX","ECB_00250","b0291",0,0,0,"no_op"
"YP_003043478.1","yagY","ECB_00251","b0292",0,0,0,"no_op"
"YP_003043479.1","yagZ","ECB_00252","b0293",0,0,0,"no_op"
"YP_003043480.1","ykgK","ECB_00253","b0294",0,0,0,"no_op"
"YP_003043481.1","ykgL","ECB_00254","b0295",311336,311563,227,"no_op"
"YP_003043482.1","rpmE2","ECB_00255","b0296",0,0,0,"no_op"
"YP_003043485.1","ykgB","ECB_00258","b0303",0,0,0,"no_op"
"YP_003043486.1","ykgI","ECB_00259","b0303",0,0,0,"no_op"
"YP_003043487.1","ykgC","ECB_00260","b0304",0,0,0,"no_op"
"YP_003043488.1","ykgD","ECB_00261","b0305",0,0,0,"no_op"
"YP_003043489.1","ykgE","ECB_00262","b0306",320832,321551,719,"no_op"
"YP_003043490.1","ykgF","ECB_00263","b0307",321562,322989,1427,"no_op"
"YP_003043491.1","ykgG","ECB_00264","b0308",322982,323677,695,"ykgEFG"
"YP_003043493.1","ykgH","ECB_00266","b0310",323920,324588,668,"no_op"
"YP_003043494.1","betA","ECB_00267","b0311",324801,326471,1670,"no_op"
"YP_003043495.1","betB","ECB_00268","b0312",326485,327957,1472,"betIBA"
"YP_003043496.1","betI","ECB_00269","b0313",327971,328558,587,"betIBA"
"YP_003043497.1","betT","ECB_00270","b0314",328687,330720,2033,"no_op"
"YP_003043498.1","yahA","ECB_00271","b0315",331595,332683,1088,"no_op"
"YP_003043499.1","yahB","ECB_00272","b0316",332725,333657,932,"no_op"
"YP_003043500.1","yahC","ECB_00273","b0317",333749,334246,497,"yahB"
"YP_003043501.1","yahD","ECB_00274","b0318",334504,335109,605,"no_op"
"YP_003043502.1","yahE","ECB_00275","b0319",335149,336012,863,"no_op"
"YP_003043503.1","yahF","ECB_00276","b0320",336002,337549,1547,"yahDEFG"
"YP_003043504.1","yahG","ECB_00277","b0321",337549,338967,1418,"yahDEFG"
"YP_003043505.1","yahI","ECB_00278","b0323",339389,340339,950,"no_op"
"YP_003043506.1","yahJ","ECB_00279","b0324",340349,341731,1382,"yahIJ"
"YP_003043507.1","yahK","ECB_00280","b0325",342108,343157,1049,"no_op"
"YP_003043508.1","yahL","ECB_00281","b0326",343400,344215,815,"no_op"
"YP_003043509.1","yahM","ECB_00282","b0327",344628,344873,245,"yahL"
"YP_003043510.1","yahN","ECB_00283","b0328",344890,345561,671,"no_op"
"YP_003043511.1","yahO","ECB_00284","b0329",345708,345983,275,"yahN"
"YP_003043512.1","prpR","ECB_00285","b0330",346081,347667,1586,"no_op"
"YP_003043513.1","prpB","ECB_00286","b0331",347906,348796,890,"no_op"
"YP_003043514.1","prpC","ECB_00287","b0333",349236,350405,1169,"prpBCDE"
"YP_003043515.1","prpD","ECB_00288","b0334",350439,351890,1451,"prpBCDE"
"YP_003043516.1","prpE","ECB_00289","b0335",351930,353816,1886,"prpBCDE"
"YP_003043517.1","codB","ECB_00290","b0336",354146,355405,1259,"no_op"
"YP_003043518.1","codA","ECB_00291","b0337",355395,356678,1283,"codBA"
"YP_003043519.1","cynR","ECB_00292","b0338",357015,357914,899,"no_op"
"YP_003043520.1","cynT","ECB_00293","b0339",358023,358682,659,"cynR"
"YP_003043521.1","cynS","ECB_00294","b0340",358713,359183,470,"no_op"
"YP_003043522.1","cynX","ECB_00295","b0341",359216,360370,1154,"cynTSX"
"YP_003043523.1","lacA","ECB_00296","b0342",360473,361084,611,"cynTSX"
"YP_003043524.1","lacY","ECB_00297","b0343",361150,362403,1253,"no_op"
"YP_003043525.1","lacZ","ECB_00298","b0344",362455,365529,3074,"lacZYA"
"YP_003043526.1","lacI","ECB_00299","b0345",365652,366734,1082,"no_op"
"YP_003043527.1","mhpR","ECB_00300","b0346",366811,367644,833,"mhpR-lacI"
"YP_003043528.1","mhpA","ECB_00301","b0347",367835,369499,1664,"no_op"
"YP_003043529.1","mhpB","ECB_00302","b0348",369501,370445,944,"mhpABCDFE"
"YP_003043530.1","mhpC","ECB_00303","b0349",370463,371329,866,"mhpABCDFE"
"YP_003043531.1","mhpD","ECB_00304","b0350",371339,372148,809,"mhpABCDFE"
"YP_003043532.1","mhpF","ECB_00305","b0351",372145,373095,950,"mhpABCDFE"
"YP_003043533.1","mhpE","ECB_00306","b0352",373092,374105,1013,"mhpABCDFE"
"YP_003043534.1","mhpT","ECB_00307","b0353",374683,375894,1211,"no_op"
"YP_003043535.1","yaiL","ECB_00308","b0354",375996,376535,539,"mhpT"
"YP_003043536.1","frmB","ECB_00309","b0355",376759,377592,833,"no_op"
"YP_003043537.1","frmA","ECB_00310","b0356",377686,378795,1109,"frmRAB"
"YP_003043538.1","frmR","ECB_00311","b0357",378830,379105,275,"frmRAB"
"YP_003043539.1","yaiO","ECB_00312","b0358",379293,380066,773,"no_op"
"YP_003043542.1","tauA","ECB_00315","b0365",384456,385418,962,"no_op"
"YP_003043543.1","tauB","ECB_00316","b0366",385431,386198,767,"tauABCD"
"YP_003043544.1","tauC","ECB_00317","b0367",386195,387022,827,"tauABCD"
"YP_003043545.1","tauD","ECB_00318","b0368",387019,387870,851,"tauABCD"
"YP_003043546.1","hemB","ECB_00319","b0369",387977,388951,974,"no_op"
"YP_003043549.1","yaiV","ECB_00322","b0375",393685,394353,668,"yaiU"
"YP_003043550.1","ampH","ECB_00323","b0376",394354,395511,1157,"no_op"
"YP_003043551.1","sbmA","ECB_00324","b0377",395863,397083,1220,"no_op"
"YP_003043552.1","yaiW","ECB_00325","b0378",397096,398190,1094,"sbmA-yaiW"
"YP_003043553.1","yaiY","ECB_00326","b0379",398249,398557,308,"sbmA-yaiW"
"YP_003043554.1","yaiZ","ECB_00327","b0380",398817,399029,212,"no_op"
"YP_003043556.1","yaiB","ECB_00329","b0382",0,0,0,"no_op"
"YP_003043557.1","phoA","ECB_00330","b0383",400971,402386,1415,"no_op"
"YP_003043558.1","psiF","ECB_00331","b0384",402505,402825,320,"phoA-psiF"
"YP_003043559.1","adrA","ECB_00332","b0385",402927,404042,1115,"no_op"
"YP_003043560.1","proC","ECB_00333","b0386",404059,404868,809,"no_op"
"YP_003043561.1","yaiI","ECB_00334","b0387",404988,405446,458,"proC"
"YP_003043562.1","aroL","ECB_00335","b0388",405629,406153,524,"no_op"
"YP_003043563.1","yaiA","ECB_00336","b0389",406203,406394,191,"no_op"
"YP_003043564.1","aroM","ECB_00337","b0390",406652,407329,677,"aroL-yaiA-aroM"
"YP_003043565.1","yaiE","ECB_00338","b0391",407401,407685,284,"aroL-yaiA-aroM"
"YP_003043569.1","rdgC","ECB_00342","b0393",408332,409243,911,"no_op"
"YP_003043570.1","yajF","ECB_00343","b0394",0,0,0,"no_op"
"YP_003043571.1","araJ","ECB_00344","b0396",410521,411705,1184,"no_op"
